industry,kind_of_business,sales
Automotive,Motor vehicle and parts dealers,14531121.0
Fashion & Accessories,Clothing and clothing access. stores,3302936.0
Food & Beverage,Food and beverage stores,9451004.0
Fuel & Gasoline,Gasoline stations,6811521.0
General Merchandise,General merchandise stores,9038491.0
Health & Personal Care,Health and personal care stores,4149035.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,4586452.0
Home Goods & Electronics,Electronic shopping and mail-order houses,7351761.0
Miscellaneous,Nonstore retailers,8511856.0
Office Supplies & Gifts,"Office supplies, stationery, and gift stores",405487.0
Restaurants & Bars,Food services and drinking places,8635492.0
Sports & Recreation,"Sporting goods, hobby, musical instrument, and book stores",1123028.0
