industry,April,August,December,February,January,July,June,March,May,November,October,September
Automotive,4471542.0,4822818.0,4614576.0,4037466.0,3867979.0,4696992.0,4637376.0,4759220.0,4763342.0,4268662.0,4470684.0,4430278.0
Fashion & Accessories,717382.31,829908.08,1202977.08,640647.54,571327.54,781147.08,765258.08,756845.31,795192.08,920576.85,811783.85,746514.08
Food & Beverage,2639095.0,2773945.0,3047368.0,2447797.0,2603589.0,2787292.0,2720797.0,2742088.0,2799623.0,2810868.0,2751956.0,2654253.0
Fuel & Gasoline,598225.0,637891.0,592709.0,540344.0,562150.0,641454.0,632389.0,611964.0,637026.0,590186.0,629626.0,605948.0
General Merchandise,1646201.0,1763321.0,2397021.0,1513817.0,1499961.0,1706786.0,1713206.0,1727210.0,1764913.0,1952466.0,1729786.0,1622846.0
Health & Personal Care,620379.0,638462.0,710582.0,589183.0,621954.0,624555.0,624898.0,650365.0,634257.0,629287.0,649689.0,622969.0
Home Goods & Building Supplies,821716.0,789035.0,703640.0,575609.0,589646.0,809875.0,859096.0,745738.0,902307.0,740986.0,780991.0,754760.0
Home Goods & Electronics,1399797.7,1537301.7,2028320.24,1325620.93,1363317.93,1486597.7,1466257.7,1469632.7,1471855.7,1772503.24,1552984.24,1481973.7
Miscellaneous,810350.0,858254.0,1151444.0,745395.0,780163.0,827397.0,827938.0,826692.0,850405.0,987668.0,884878.0,826453.0
Office Supplies & Gifts,58410.0,77202.0,88116.0,57862.0,59290.0,67578.0,62996.0,61518.0,64322.0,65518.0,79108.0,69054.0
Restaurants & Bars,2028506.16,2166901.16,2163522.16,1874674.39,1881766.62,2166734.16,2124304.16,2102825.16,2148378.16,2030896.16,2130602.16,2054615.16
Sports & Recreation,154985.0,197989.0,278223.0,137044.0,153369.0,170775.0,175474.0,166071.0,165717.0,192880.0,160574.0,168185.0
